Function,Category,Subcategory,Informative References,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes","·       CIS CSC 1, 5, 15, 16",
,,,"·       COBIT 5 DSS05.04, DSS06.03",
,,,·       ISA 62443-2-1:2009 4.3.3.5.1,
,,,"·       ISA 62443-3-3:2013 SR 1.1, SR 1.2, SR 1.3, SR 1.4, SR 1.5, SR 1.7, SR 1.8, SR 1.9",
,,,"·       ISO/IEC 27001:2013 A.9.2.1, A.9.2.2, A.9.2.3, A.9.2.4, A.9.2.6, A.9.3.1, A.9.4.2, A.9.4.3",
,,,"·       NIST SP 800-53 Rev. 4 AC-1, AC-2, IA-1, IA-2, IA-3, IA-4, IA-5, IA-6, IA-7, IA-8, IA-9, IA-10, IA-11 ",
,,PR.AC-2: Physical access to assets is managed and protected,"·       COBIT 5 DSS01.04, DSS05.05",
,,,"·       ISA 62443-2-1:2009 4.3.3.3.2, 4.3.3.3.8",
,,,"·       ISO/IEC 27001:2013 A.11.1.1, A.11.1.2, A.11.1.3, A.11.1.4, A.11.1.5, A.11.1.6, A.11.2.1, A.11.2.3, A.11.2.5, A.11.2.6, A.11.2.7, A.11.2.8",
,,,"·       NIST SP 800-53 Rev. 4 PE-2, PE-3, PE-4, PE-5, PE-6, PE-8",
,,PR.AC-3: Remote access is managed,·       CIS CSC 12,
,,,"·       COBIT 5 APO13.01, DSS01.04, DSS05.03",
,,,·       ISA 62443-2-1:2009 4.3.3.6.6,
,,,"·       ISA 62443-3-3:2013 SR 1.13, SR 2.6",
,,,"·       ISO/IEC 27001:2013 A.6.2.1, A.6.2.2, A.11.2.6, A.13.1.1, A.13.2.1",
,,,"·       NIST SP 800-53 Rev. 4 AC-1, AC-17, AC-19, AC-20, SC-15",
,,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties","·       CIS CSC 3, 5, 12, 14, 15, 16, 18 ",
,,,·       COBIT 5 DSS05.04,
,,,·       ISA 62443-2-1:2009 4.3.3.7.3,
,,,·       ISA 62443-3-3:2013 SR 2.1,
,,,"·       ISO/IEC 27001:2013 A.6.1.2, A.9.1.2, A.9.2.3, A.9.4.1, A.9.4.4, A.9.4.5",
,,,"·       NIST SP 800-53 Rev. 4 AC-1, AC-2, AC-3, AC-5, AC-6, AC-14, AC-16, AC-24",
,,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)","·       CIS CSC 9, 14, 15, 18",
,,,"·       COBIT 5 DSS01.05, DSS05.02",
,,,·       ISA 62443-2-1:2009 4.3.3.4,
,,,"·       ISA 62443-3-3:2013 SR 3.1, SR 3.8",
,,,"·       ISO/IEC 27001:2013 A.13.1.1, A.13.1.3, A.13.2.1, A.14.1.2, A.14.1.3",
,,,"·       NIST SP 800-53 Rev. 4 AC-4, AC-10, SC-7",
,,PR.AC-6: Identities are proofed and bound to credentials and asserted in interactions,"·       CIS CSC, 16",
,,,"·       COBIT 5 DSS05.04, DSS05.05, DSS05.07, DSS06.03 ",
,,,"·       ISA 62443-2-1:2009 4.3.3.2.2, 4.3.3.5.2, 4.3.3.7.2, 4.3.3.7.4",
,,,"·       ISA 62443-3-3:2013 SR 1.1, SR 1.2, SR 1.4, SR 1.5, SR 1.9, SR 2.1 ",
,,,"·       ISO/IEC 27001:2013, A.7.1.1, A.9.2.1 ",
,,,"·       NIST SP 800-53 Rev. 4 AC-1, AC-2, AC-3,  AC-16, AC-19, AC-24, IA-1, IA-2, IA-4, IA-5, IA-8, PE-2, PS-3",
,,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)","·       CIS CSC 1, 12, 15, 16",
,,,"·       COBIT 5 DSS05.04, DSS05.10, DSS06.10",
,,,"·       ISA 62443-2-1:2009 4.3.3.6.1, 4.3.3.6.2, 4.3.3.6.3, 4.3.3.6.4, 4.3.3.6.5, 4.3.3.6.6, 4.3.3.6.7, 4.3.3.6.8, 4.3.3.6.9",
,,,"·       ISA 62443-3-3:2013 SR 1.1, SR 1.2, SR 1.5, SR 1.7, SR 1.8, SR 1.9, SR 1.10 ",
,,,"·       ISO/IEC 27001:2013 A.9.2.1, A.9.2.4, A.9.3.1, A.9.4.2, A.9.4.3, A.18.1.4",
,,,"·       NIST SP 800-53 Rev. 4 AC-7, AC-8, AC-9, AC-11, AC-12, AC-14, IA-1, IA-2, IA-3, IA-4, IA-5, IA-8, IA-9, IA-10, IA-11",
,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-1: All users are informed and trained ,"·       CIS CSC 17, 18",
,,,"·       COBIT 5 APO07.03, BAI05.07",
,,,·       ISA 62443-2-1:2009 4.3.2.4.2,
,,,"·       ISO/IEC 27001:2013 A.7.2.2, A.12.2.1",
,,,"·       NIST SP 800-53 Rev. 4 AT-2, PM-13",
,,PR.AT-2: Privileged users understand their roles and responsibilities ,"·       CIS CSC 5, 17, 18 ",
,,,"·       COBIT 5 APO07.02, DSS05.04, DSS06.03",
,,,"·       ISA 62443-2-1:2009 4.3.2.4.2, 4.3.2.4.3",
,,,"·       ISO/IEC 27001:2013 A.6.1.1, A.7.2.2 ",
,,,"·       NIST SP 800-53 Rev. 4 AT-3, PM-13",
,,"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ",·       CIS CSC 17,
,,,"·       COBIT 5 APO07.03, APO07.06, APO10.04, APO10.05",
,,,·       ISA 62443-2-1:2009 4.3.2.4.2,
,,,"·       ISO/IEC 27001:2013 A.6.1.1, A.7.2.1, A.7.2.2",
,,,"·       NIST SP 800-53 Rev. 4 PS-7, SA-9, SA-16",
,,PR.AT-4: Senior executives understand their roles and responsibilities ,"·       CIS CSC 17, 19",
,,,"·       COBIT 5 EDM01.01, APO01.02, APO07.03",
,,,·       ISA 62443-2-1:2009 4.3.2.4.2,
,,,"·       ISO/IEC 27001:2013 A.6.1.1, A.7.2.2 ",
,,,"·       NIST SP 800-53 Rev. 4 AT-3, PM-13",
,,PR.AT-5: Physical and cybersecurity personnel understand their roles and responsibilities ,·       CIS CSC 17,
,,,·       COBIT 5 APO07.03,
,,,·       ISA 62443-2-1:2009 4.3.2.4.2,
,,,"·       ISO/IEC 27001:2013 A.6.1.1, A.7.2.2 ",
,,,"·       NIST SP 800-53 Rev. 4 AT-3, IR-2, PM-13",
,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-1: Data-at-rest is protected,"·       CIS CSC 13, 14",
,,,"·       COBIT 5 APO01.06, BAI02.01, BAI06.01, DSS04.07, DSS05.03, DSS06.06",
,,,"·       ISA 62443-3-3:2013 SR 3.4, SR 4.1",
,,,·       ISO/IEC 27001:2013 A.8.2.3,
,,,"·       NIST SP 800-53 Rev. 4 MP-8, SC-12, SC-28",
,,PR.DS-2: Data-in-transit is protected,"·       CIS CSC 13, 14",
,,,"·       COBIT 5 APO01.06, DSS05.02, DSS06.06",
,,,"·       ISA 62443-3-3:2013 SR 3.1, SR 3.8, SR 4.1, SR 4.2",
,,,"·       ISO/IEC 27001:2013 A.8.2.3, A.13.1.1, A.13.2.1, A.13.2.3, A.14.1.2, A.14.1.3",
,,,"·       NIST SP 800-53 Rev. 4 SC-8, SC-11, SC-12",
,,"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition",·       CIS CSC 1,
,,,·       COBIT 5 BAI09.03,
,,,"·       ISA 62443-2-1:2009 4.3.3.3.9, 4.3.4.4.1",
,,,·       ISA 62443-3-3:2013 SR 4.2,
,,,"·       ISO/IEC 27001:2013 A.8.2.3, A.8.3.1, A.8.3.2, A.8.3.3, A.11.2.5, A.11.2.7",
,,,"·       NIST SP 800-53 Rev. 4 CM-8, MP-6, PE-16",
,,PR.DS-4: Adequate capacity to ensure availability is maintained,"·       CIS CSC 1, 2, 13",
,,,"·       COBIT 5 APO13.01, BAI04.04",
,,,"·       ISA 62443-3-3:2013 SR 7.1, SR 7.2",
,,,"·       ISO/IEC 27001:2013 A.12.1.3, A.17.2.1",
,,,"·       NIST SP 800-53 Rev. 4 AU-4, CP-2, SC-5",
,,PR.DS-5: Protections against data leaks are implemented,·       CIS CSC 13,
,,,"·       COBIT 5 APO01.06, DSS05.04, DSS05.07, DSS06.02",
,,,·       ISA 62443-3-3:2013 SR 5.2,
,,,"·       ISO/IEC 27001:2013 A.6.1.2, A.7.1.1, A.7.1.2, A.7.3.1, A.8.2.2, A.8.2.3, A.9.1.1, A.9.1.2, A.9.2.3, A.9.4.1, A.9.4.4, A.9.4.5, A.10.1.1, A.11.1.4, A.11.1.5, A.11.2.1, A.13.1.1, A.13.1.3, A.13.2.1, A.13.2.3, A.13.2.4, A.14.1.2, A.14.1.3",
,,,"·       NIST SP 800-53 Rev. 4 AC-4, AC-5, AC-6, PE-19, PS-3, PS-6, SC-7, SC-8, SC-13, SC-31, SI-4",
,,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity","·       CIS CSC 2, 3",
,,,"·       COBIT 5 APO01.06, BAI06.01, DSS06.02",
,,,"·       ISA 62443-3-3:2013 SR 3.1, SR 3.3, SR 3.4, SR 3.8",
,,,"·       ISO/IEC 27001:2013 A.12.2.1, A.12.5.1, A.14.1.2, A.14.1.3, A.14.2.4",
,,,"·       NIST SP 800-53 Rev. 4 SC-16, SI-7",
,,PR.DS-7: The development and testing environment(s) are separate from the production environment,"·       CIS CSC 18, 20",
,,,"·       COBIT 5 BAI03.08, BAI07.04",
,,,·       ISO/IEC 27001:2013 A.12.1.4,
,,,·       NIST SP 800-53 Rev. 4 CM-2,
,,PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity,·       COBIT 5 BAI03.05,
,,,·       ISA 62443-2-1:2009 4.3.4.4.4,
,,,·       ISO/IEC 27001:2013 A.11.2.4,
,,,"·       NIST SP 800-53 Rev. 4 SA-10, SI-7",
,"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),"·       CIS CSC 3, 9, 11",
,,,"·       COBIT 5 BAI10.01, BAI10.02, BAI10.03, BAI10.05",
,,,"·       ISA 62443-2-1:2009 4.3.4.3.2, 4.3.4.3.3",
,,,·       ISA 62443-3-3:2013 SR 7.6,
,,,"·       ISO/IEC 27001:2013 A.12.1.2, A.12.5.1, A.12.6.2, A.14.2.2, A.14.2.3, A.14.2.4",
,,,"·       NIST SP 800-53 Rev. 4 CM-2, CM-3, CM-4, CM-5, CM-6, CM-7, CM-9, SA-10",
,,PR.IP-2: A System Development Life Cycle to manage systems is implemented,·       CIS CSC 18,
,,,"·       COBIT 5 APO13.01, BAI03.01, BAI03.02, BAI03.03",
,,,·       ISA 62443-2-1:2009 4.3.4.3.3,
,,,"·       ISO/IEC 27001:2013 A.6.1.5, A.14.1.1, A.14.2.1, A.14.2.5",
,,,"·       NIST SP 800-53 Rev. 4 PL-8, SA-3, SA-4, SA-8, SA-10, SA-11, SA-12, SA-15, SA-17, SI-12, SI-13, SI-14, SI-16, SI-17 ",
,,PR.IP-3: Configuration change control processes are in place,"·       CIS CSC 3, 11",
,,,"·       COBIT 5 BAI01.06, BAI06.01",
,,,"·       ISA 62443-2-1:2009 4.3.4.3.2, 4.3.4.3.3",
,,,·       ISA 62443-3-3:2013 SR 7.6,
,,,"·       ISO/IEC 27001:2013 A.12.1.2, A.12.5.1, A.12.6.2, A.14.2.2, A.14.2.3, A.14.2.4",
,,,"·       NIST SP 800-53 Rev. 4 CM-3, CM-4, SA-10",
,,"PR.IP-4: Backups of information are conducted, maintained, and tested ",·       CIS CSC 10,
,,,"·       COBIT 5 APO13.01, DSS01.01, DSS04.07 ",
,,,·       ISA 62443-2-1:2009 4.3.4.3.9,
,,,"·       ISA 62443-3-3:2013 SR 7.3, SR 7.4",
,,,"·       ISO/IEC 27001:2013 A.12.3.1, A.17.1.2, A.17.1.3, A.18.1.3",
,,,"·       NIST SP 800-53 Rev. 4 CP-4, CP-6, CP-9",
,,PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met,"·       COBIT 5 DSS01.04, DSS05.05",
,,,"·       ISA 62443-2-1:2009 4.3.3.3.1 4.3.3.3.2, 4.3.3.3.3, 4.3.3.3.5, 4.3.3.3.6",
,,,"·       ISO/IEC 27001:2013 A.11.1.4, A.11.2.1, A.11.2.2, A.11.2.3",
,,,"·       NIST SP 800-53 Rev. 4 PE-10, PE-12, PE-13, PE-14, PE-15, PE-18",
,,PR.IP-6: Data is destroyed according to policy,"·       COBIT 5 BAI09.03, DSS05.06",
,,,·       ISA 62443-2-1:2009 4.3.4.4.4,
,,,·       ISA 62443-3-3:2013 SR 4.2,
,,,"·       ISO/IEC 27001:2013 A.8.2.3, A.8.3.1, A.8.3.2, A.11.2.7",
,,,·       NIST SP 800-53 Rev. 4 MP-6,
,,PR.IP-7: Protection processes are improved,"·       COBIT 5 APO11.06, APO12.06, DSS04.05",
,,,"·       ISA 62443-2-1:2009 4.4.3.1, 4.4.3.2, 4.4.3.3, 4.4.3.4, 4.4.3.5, 4.4.3.6, 4.4.3.7, 4.4.3.8",
,,,"·       ISO/IEC 27001:2013 A.16.1.6, Clause 9, Clause 10",
,,,"·       NIST SP 800-53 Rev. 4 CA-2, CA-7, CP-2, IR-8, PL-2, PM-6",
,,PR.IP-8: Effectiveness of protection technologies is shared ,"·       COBIT 5 BAI08.04, DSS03.04",
,,,·       ISO/IEC 27001:2013 A.16.1.6 ,
,,,"·       NIST SP 800-53 Rev. 4 AC-21, CA-7, SI-4",
,,PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,·       CIS CSC 19,
,,,"·       COBIT 5 APO12.06, DSS04.03",
,,,"·       ISA 62443-2-1:2009 4.3.2.5.3, 4.3.4.5.1 ",
,,,"·       ISO/IEC 27001:2013 A.16.1.1, A.17.1.1, A.17.1.2, A.17.1.3",
,,,"·       NIST SP 800-53 Rev. 4 CP-2, CP-7, CP-12, CP-13, IR-7, IR-8, IR-9, PE-17",
,,PR.IP-10: Response and recovery plans are tested,"·       CIS CSC 19, 20",
,,,·       COBIT 5 DSS04.04,
,,,"·       ISA 62443-2-1:2009 4.3.2.5.7, 4.3.4.5.11",
,,,·       ISA 62443-3-3:2013 SR 3.3,
,,,·       ISO/IEC 27001:2013 A.17.1.3,
,,,"·       NIST SP 800-53 Rev. 4 CP-4, IR-3, PM-14",
,,"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","·       CIS CSC 5, 16",
,,,"·       COBIT 5 APO07.01, APO07.02, APO07.03, APO07.04, APO07.05",
,,,"·       ISA 62443-2-1:2009 4.3.3.2.1, 4.3.3.2.2, 4.3.3.2.3",
,,,"·       ISO/IEC 27001:2013 A.7.1.1, A.7.1.2, A.7.2.1, A.7.2.2, A.7.2.3, A.7.3.1, A.8.1.4 ",
